campaign,filename,extension,TELESCOP,INSTRUME,CHANNEL,MODULE,OUTPUT,RADESYS,EQUINOX,WCSAXES,CTYPE1,CTYPE2,CRVAL1,CRVAL2,CRPIX1,CRPIX2,CD1_1,CD1_2,CD2_1,CD2_2,A_ORDER,B_ORDER,A_2_0,A_0_2,A_1_1,B_2_0,B_0_2,B_1_1,AP_ORDER,BP_ORDER,AP_1_0,AP_0_1,AP_2_0,AP_0_2,AP_1_1,BP_1_0,BP_0_1,BP_2_0,BP_0_2,BP_1_1
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,1,Kepler,Kepler Photometer,1,2,1,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,104.304325477,18.958790313,513.251147518,557.083593677,-0.000160247452279,0.00109317050399,0.00109267680988,0.000159529995049,2,2,5.74937810022e-07,5.79166805201e-07,1.03991196291e-07,3.87558628264e-07,1.2589638621e-06,3.61505544108e-07,2,2,2.65272964062e-07,3.52591604734e-07,-5.74861140089e-07,-5.79224957263e-07,-1.0397502089e-07,3.06315674901e-07,7.74312626644e-07,-3.87494358374e-07,-1.25908683389e-06,-3.61439666059e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,2,Kepler,Kepler Photometer,2,2,2,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,104.035895105,20.170275904,593.853899294,490.18879796,0.000161588502296,0.00109272202259,-0.00109256378048,0.000161851082361,2,2,1.08099566641e-06,1.10381154281e-06,8.5141453279e-07,-1.68552849126e-07,5.10474239175e-07,2.86442351094e-07,2,2,8.6869645866e-07,6.76417647561e-07,-1.08107933876e-06,-1.10367214853e-06,-8.51186017634e-07,-5.367700894e-08,1.4301333479e-07,1.68559266793e-07,-5.10397881176e-07,-2.86410989852e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,3,Kepler,Kepler Photometer,3,2,3,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,105.339673576,20.4281492019,520.350799266,548.101417619,0.00015300198584,-0.0010943108098,-0.00109392535614,-0.000152533146763,2,2,3.84850888583e-07,-1.31548591974e-07,1.76914682443e-07,-3.71904193878e-08,6.936864325e-07,6.99632076538e-07,2,2,4.49888370633e-08,-3.24202379042e-11,-3.84822041401e-07,1.31543313967e-07,-1.76880420826e-07,1.52443109866e-07,2.38553251591e-07,3.71620035369e-08,-6.93661215335e-07,-6.99610285174e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,4,Kepler,Kepler Photometer,4,2,4,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,105.614320647,19.1732493436,547.335405893,472.948582927,-0.000151281153817,-0.00109412218707,0.00109380329048,-0.000151297496889,2,2,1.50825670036e-07,-7.85494727881e-07,7.71250556015e-07,-8.2372040132e-08,1.75634387127e-06,1.65511960431e-07,2,2,1.35285062853e-07,-5.1964539701e-07,-1.50691675022e-07,7.85000358444e-07,-7.71048082995e-07,1.08369012492e-07,1.00923922439e-06,8.21350861562e-08,-1.75542668945e-06,-1.65383655693e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,9,Kepler,Kepler Photometer,9,4,1,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,103.361059353,24.5934089688,521.458309987,518.07316819,-0.000164021203825,0.00109228555772,0.00109244281411,0.000163341327505,2,2,5.65499131328e-07,-1.1866502306e-06,6.84301872344e-07,-6.22631366967e-08,2.86893373125e-07,-3.29132559901e-07,2,2,1.28342282474e-07,-1.50758016544e-07,-5.65411228413e-07,1.18656752173e-06,-6.84201813201e-07,-4.64534909218e-08,7.94876436529e-08,6.22554544694e-08,-2.86878673405e-07,3.29102602827e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,10,Kepler,Kepler Photometer,10,4,2,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,103.146846177,25.7937281038,603.184441108,506.063270601,0.000165008314309,0.00109223877743,-0.00109246023548,0.000165139517419,2,2,6.28147359343e-07,-2.62740921093e-07,-2.58499615572e-07,2.21932381161e-08,6.81262612977e-07,1.80137245074e-06,2,2,1.59841201417e-08,-1.64827265422e-07,-6.28245494757e-07,2.6278577746e-07,2.58491134013e-07,3.46588049775e-07,5.8531415521e-07,-2.20874116658e-08,-6.81356039623e-07,-1.8015133627e-06
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,11,Kepler,Kepler Photometer,11,4,3,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,104.538439237,25.9822070719,597.543467596,513.80783897,0.00015334878027,-0.00109411410878,-0.00109400332281,-0.000152875832759,2,2,4.67397411931e-07,5.57773789378e-07,7.00594137206e-07,6.58222539288e-07,1.06788018541e-06,3.77819739259e-07,2,2,4.06007472957e-07,5.14808932456e-07,-4.6743465591e-07,-5.57735487431e-07,-7.00626062273e-07,4.02193087372e-07,7.56146472975e-07,-6.58258950962e-07,-1.06780334598e-06,-3.77892531365e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,12,Kepler,Kepler Photometer,12,4,4,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,104.522923293,24.8471447062,611.806610685,668.930154844,-0.000153719315782,-0.00109245430583,0.00109386653375,-0.000153160989307,2,2,1.8816023515e-06,-2.23822213622e-06,1.6568300134e-06,-8.5893507470799e-06,1.11749985966e-05,-9.41116137582e-06,2,2,2.73455317995e-06,-4.35848277504e-06,-1.88681088056e-06,2.25545791486e-06,-1.67452517469e-06,-1.27307971403e-05,2.36971086298e-05,8.61300857669999e-06,-1.12603872947e-05,9.50329945582999e-06
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,13,Kepler,Kepler Photometer,13,6,1,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,101.620062407,16.8887987572,600.5650021,588.544057647,0.00109038081346,0.000179311173975,0.000179147482545,-0.00109006851474,2,2,1.61972264795e-06,-6.23902519408e-07,3.73645686598e-07,2.55527881702e-06,3.30857549846e-07,1.4526510629e-06,2,2,9.02029091185e-07,-1.8943241701e-07,-1.62025656224e-06,6.24198050014e-07,-3.73206391456e-07,2.28440621337e-06,8.22013191396e-07,-2.55656925903e-06,-3.30278847876e-07,-1.45308040977e-06
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,14,Kepler,Kepler Photometer,14,6,2,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,102.837507963,17.1543338058,546.048099643,519.295787684,-0.00109110224047,0.000173354877244,-0.00017297947924,-0.00109148037273,2,2,2.81783409763e-07,4.13791341392e-07,-1.07121093683e-07,4.91278863615e-07,1.21679797461e-06,1.1249021528e-06,2,2,1.28292095307e-07,1.97666370025e-07,-2.81791883402e-07,-4.13744824882e-07,1.07161983291e-07,6.16343049844e-07,9.28449198083e-07,-4.91272300789e-07,-1.21664264512e-06,-1.12465648561e-06
